text,label
GUS publikuje dane o ochrony środowiska,1
Premier zapowiada zmiany w energetyki,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące ochrony zdrowia,1
Biblioteka otwiera nowy oddział w Woli,1
Podpisano umowę handlową z Francją,1
Miejski Zarząd Dróg planuje remont al. Jerozolimskich,1
Narodowy Bank Polski utrzymuje stopy procentowe,1
Muzeum organizuje wystawę poświęconą edukacji,1
Badanie opublikowane w polskim czasopiśmie naukowym pokazuje związek między stylem życia a zdrowiem,1
Ministerstwo Edukacji i Nauki wprowadza reformę programową,1
Urząd Miasta ogłasza konkurs na renowację,1
Giełda Papierów Wartościowych notuje wzrost w sektorze energetycznym,1
Szpital uniwersytecki raportuje sukces terapii leczenia nowotworów,1
Ministerstwo Rozwoju ogłasza nową strategię dotyczącą infrastruktury,1
Straż Pożarna interweniowała przy pożarze budynku,1
Polski uniwersytet w rankingu najlepszych uczelni,1
Rada Ministrów przyjmuje program bezpieczeństwa publicznego,1
Ministerstwo Edukacji i Nauki wprowadza program stypendialny,1
Giełda Papierów Wartościowych notuje wzrost w sektorze technologicznym,1
Giełda Papierów Wartościowych notuje wzrost w sektorze medycznym,1
Premier zapowiada zmiany w ochrony środowiska,1
Rada Ministrów przyjmuje program ochrony środowiska,1
Polski uniwersytet w rankingu najlepszych uczelni,1
Podpisano umowę handlową z Chinami,1
Ministerstwo Spraw Wewnętrznych ogłasza nową program dotyczącą infrastruktury,1
Premier zapowiada zmiany w energetyki,1
Badanie opublikowane w polskim czasopiśmie naukowym pokazuje związek między stylem życia a zdrowiem,1
Straż Pożarna interweniowała przy kolizji,1
Badania kliniczne potwierdzają skuteczność terapii genowej,1
Politechnika Warszawska otrzymuje grant na badania ochrony środowiska,1
Komisja sejmowa dyskutuje nad bezpieczeństwa publicznego,1
Polski uniwersytet w rankingu najlepszych uczelni,1
Rada Ministrów przyjmuje program edukacji,1
Giełda Papierów Wartościowych notuje wzrost w sektorze technologicznym,1
Straż Pożarna interweniowała przy wycieku gazu,1
Giełda Papierów Wartościowych notuje wzrost w sektorze budowlanym,1
Straż Pożarna interweniowała przy kolizji,1
Firma polska otrzymuje grant unijny na rozwój,1
Prezydent podpisuje ustawę dotyczącą zatrudnienia,1
Polska Akademia Nauk prezentuje wyniki badań nad bezpieczeństwa publicznego,1
Muzeum organizuje wystawę poświęconą cyfryzacji,1
Muzeum organizuje wystawę poświęconą energetyki,1
Badania kliniczne potwierdzają skuteczność szczepionki,1
Narodowy Bank Polski utrzymuje stopy procentowe,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące cyfryzacji,1
Urząd Miasta ogłasza konkurs na renowację,1
Firma polska otrzymuje grant unijny na budowę,1
Biblioteka otwiera nowy oddział w Mokotowie,1
Komisja sejmowa dyskutuje nad zatrudnienia,1
Komisja sejmowa dyskutuje nad ochrony środowiska,1
Miejski Zarząd Dróg planuje remont ul. Głównej,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące ochrony środowiska,1
Kuratorium zatwierdza nową podstawę programową bransoletka miedziana,1
Ministerstwo Edukacji i Nauki wprowadza reformę programową,1
Muzeum organizuje wystawę poświęconą zatrudnienia,1
Rada Ministrów przyjmuje program energetyki,1
GUS publikuje dane o infrastruktury,1
Biblioteka otwiera nowy oddział w Ursynowie,1
Ministerstwo Edukacji i Nauki wprowadza reformę programową,1
Muzeum organizuje wystawę poświęconą bezpieczeństwa publicznego,1
Polski uniwersytet w rankingu najlepszych uczelni,1
Straż Pożarna interweniowała przy awarii,1
Prezydent podpisuje ustawę dotyczącą ochrony środowiska,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące edukacji,1
Polski uniwersytet w rankingu najlepszych uczelni,1
Straż Pożarna interweniowała przy pożarze budynku,1
Rada Ministrów przyjmuje program ochrony zdrowia,1
Podpisano umowę handlową z USA,1
Kuratorium zatwierdza nową podstawę programową piramida energetyczna,1
Sejm uchwala ustawę o cyfryzacji,1
Muzeum organizuje wystawę poświęconą energetyki,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące bezpieczeństwa publicznego,1
Polska Akademia Nauk prezentuje wyniki badań nad zatrudnienia,1
Polska Akademia Nauk prezentuje wyniki badań nad cyfryzacji,1
Ministerstwo Zdrowia wydaje wytyczne dotyczące cyfryzacji,1
Badanie opublikowane w Nature pokazuje czynniki ryzyka choroby,1
Prezydent podpisuje ustawę dotyczącą energetyki,1
Premier zapowiada zmiany w energetyki,1
Uniwersytet im. Adama Mickiewicza otrzymuje grant na badania bezpieczeństwa publicznego,1
Muzeum organizuje wystawę poświęconą cyfryzacji,1
Narodowy Bank Polski utrzymuje stopy procentowe,1
Ministerstwo Zdrowia ogłasza nową regulację dotyczącą infrastruktury,1
GUS publikuje dane o ochrony zdrowia,1
Naukowcy z Uniwersytet im. Adama Mickiewicza odkrywają czynniki ryzyka choroby,1
Giełda Papierów Wartościowych notuje wzrost w sektorze budowlanym,1
Polska Akademia Nauk prezentuje wyniki badań nad bezpieczeństwa publicznego,1
Badanie opublikowane w JAMA pokazuje czynniki ryzyka choroby,1
Firma polska otrzymuje grant unijny na budowę,1
Kuratorium zatwierdza nową podstawę programową bransoletka miedziana,1
Ministerstwo Edukacji i Nauki wprowadza program stypendialny,1
Firma polska otrzymuje grant unijny na modernizację,1
Muzeum organizuje wystawę poświęconą edukacji,1
Straż Pożarna interweniowała przy awarii,1
